id,name,count,classification_result
CL:0000000,cell,15258,Other/Unknown
CL:0000001,primary cultured cell,80,Other/Unknown
CL:0000006,neuronal receptor cell,2502,Neuron
CL:0000015,male germ cell,969,Germ cell
CL:0000017,spermatocyte,9210,Germ cell
CL:0000018,spermatid,12027,Germ cell
CL:0000020,spermatogonium,192,Germ cell
CL:0000023,oocyte,776,Germ cell
CL:0000024,oogonial cell,4890,Germ cell
CL:0000029,neural crest derived neuron,838,Neuron
CL:0000030,glioblast,479998,Tumor or abnormal cell
CL:0000031,neuroblast (sensu Vertebrata),1080253,Progenitor/Stem cell
CL:0000032,neuroplacodal cell,5711,Progenitor/Stem cell
CL:0000034,stem cell,502601,Progenitor/Stem cell
CL:0000036,epithelial fate stem cell,417,Progenitor/Stem cell
CL:0000037,hematopoietic stem cell,51601,Progenitor/Stem cell
CL:0000038,erythroid progenitor cell,47317,Erythroid cell
CL:0000047,neural stem cell,20454,Progenitor/Stem cell
CL:0000049,common myeloid progenitor,24706,Progenitor/Stem cell
CL:0000050,megakaryocyte-erythroid progenitor cell,37688,Progenitor/Stem cell
CL:0000051,common lymphoid progenitor,12480,Progenitor/Stem cell
CL:0000055,non-terminally differentiated cell,82,Other/Unknown
CL:0000056,myoblast,3490,Muscle cell
CL:0000057,fibroblast,2564217,Fibroblast
CL:0000058,chondroblast,6712,Progenitor/Stem cell
CL:0000060,odontoblast,5179,Other/Unknown
CL:0000062,osteoblast,15450,Other/Unknown
CL:0000064,ciliated cell,91591,Epithelial cell
CL:0000065,ependymal cell,39492,Glial cell
CL:0000066,epithelial cell,660451,Epithelial cell
CL:0000067,ciliated epithelial cell,29019,Epithelial cell
CL:0000068,duct epithelial cell,16165,Epithelial cell
CL:0000071,blood vessel endothelial cell,260760,Endothelial cell
CL:0000075,columnar/cuboidal epithelial cell,129,Epithelial cell
CL:0000076,squamous epithelial cell,15294,Epithelial cell
CL:0000077,mesothelial cell,208593,Mesothelial cell
CL:0000078,peridermal cell,817,Epithelial cell
CL:0000079,stratified epithelial cell,56967,Epithelial cell
CL:0000081,blood cell,54172,Other/Unknown
CL:0000082,epithelial cell of lung,125048,Epithelial cell
CL:0000083,epithelial cell of pancreas,9257,Epithelial cell
CL:0000084,T cell,1447033,T cell
CL:0000091,Kupffer cell,38910,Macrophage
CL:0000092,osteoclast,4933,Other/Unknown
CL:0000094,granulocyte,17003,Granulocyte
CL:0000095,neuron associated cell,1728,Other/Unknown
CL:0000096,mature neutrophil,1812,Granulocyte
CL:0000097,mast cell,217315,Mast cell
CL:0000099,interneuron,63801,Neuron
CL:0000100,motor neuron,2756,Neuron
CL:0000101,sensory neuron,1605,Neuron
CL:0000103,bipolar neuron,1499,Neuron
CL:0000113,mononuclear phagocyte,71852,Macrophage
CL:0000115,endothelial cell,1056808,Endothelial cell
CL:0000120,granule cell,120344,Neuron
CL:0000121,Purkinje cell,441581,Neuron
CL:0000122,stellate neuron,75294,Neuron
CL:0000123,neuron associated cell (sensu Vertebrata),79325,Glial cell
CL:0000125,glial cell,169993,Glial cell
CL:0000126,macroglial cell,53713,Glial cell
CL:0000127,astrocyte,1576400,Glial cell
CL:0000128,oligodendrocyte,4437030,Glial cell
CL:0000129,microglial cell,625227,Glial cell
CL:0000131,gut endothelial cell,8601,Endothelial cell
CL:0000132,corneal endothelial cell,8394,Endothelial cell
CL:0000133,neurectodermal cell,1558,Other/Unknown
CL:0000134,mesenchymal stem cell,135972,Progenitor/Stem cell
CL:0000135,fibrocyte,335,Fibroblast
CL:0000136,adipocyte,128116,Adipocyte
CL:0000138,chondrocyte,42066,Chondrocyte
CL:0000145,professional antigen presenting cell,10243,Other/Unknown
CL:0000148,melanocyte,39916,Melanocyte
CL:0000150,glandular epithelial cell,23269,Epithelial cell
CL:0000151,secretory cell,187074,Other/Unknown
CL:0000155,peptic cell,9718,Epithelial cell
CL:0000158,club cell,187659,Epithelial cell
CL:0000159,seromucus secreting cell,5088,Epithelial cell
CL:0000160,goblet cell,177646,Epithelial cell
CL:0000162,parietal cell,1661,Epithelial cell
CL:0000163,endocrine cell,9522,Neuroendocrine cell
CL:0000164,enteroendocrine cell,24765,Neuroendocrine cell
CL:0000165,neuroendocrine cell,46019,Neuroendocrine cell
CL:0000166,chromaffin cell,26199,Neuroendocrine cell
CL:0000169,type B pancreatic cell,57933,Pancreatic islet cell
CL:0000171,pancreatic A cell,53214,Pancreatic islet cell
CL:0000173,pancreatic D cell,8187,Pancreatic islet cell
CL:0000178,Leydig cell,5696,Other/Unknown
CL:0000182,hepatocyte,158179,Hepatocyte
CL:0000183,contractile cell,5078,Muscle cell
CL:0000185,myoepithelial cell,8512,Epithelial cell
CL:0000186,myofibroblast cell,137053,Fibroblast
CL:0000187,muscle cell,23009,Muscle cell
CL:0000188,cell of skeletal muscle,29120,Muscle cell
CL:0000189,slow muscle cell,46918,Muscle cell
CL:0000190,fast muscle cell,69268,Muscle cell
CL:0000192,smooth muscle cell,287726,Muscle cell
CL:0000209,taste receptor cell,11616,Epithelial cell
CL:0000210,photoreceptor cell,15407,Neuron
CL:0000212,absorptive cell,63161,Epithelial cell
CL:0000216,Sertoli cell,73268,Other/Unknown
CL:0000218,myelinating Schwann cell,994,Glial cell
CL:0000222,mesodermal cell,116643,Other/Unknown
CL:0000232,erythrocyte,432736,Erythroid cell
CL:0000233,platelet,71996,Megakaryocyte/Platelet
CL:0000235,macrophage,1978566,Macrophage
CL:0000236,B cell,1691023,B cell
CL:0000237,keratinizing barrier epithelial cell,820,Epithelial cell
CL:0000240,stratified squamous epithelial cell,36969,Epithelial cell
CL:0000242,Merkel cell,1282,Neuroendocrine cell
CL:0000253,eurydendroid cell,2602,Neuron
CL:0000287,eye photoreceptor cell,8200,Neuron
CL:0000312,keratinocyte,105690,Epithelial cell
CL:0000313,serous secreting cell,13406,Epithelial cell
CL:0000317,sebum secreting cell,854,Epithelial cell
CL:0000319,mucus secreting cell,4890,Epithelial cell
CL:0000322,pulmonary alveolar epithelial cell,5440,Epithelial cell
CL:0000327,extracellular matrix secreting cell,3942,Fibroblast
CL:0000338,neuroblast (sensu Nematoda and Protostomia),289115,Progenitor/Stem cell
CL:0000359,vascular associated smooth muscle cell,177747,Muscle cell
CL:0000362,epidermal cell,446,Epithelial cell
CL:0000388,tendon cell,6137,Fibroblast
CL:0000397,ganglion interneuron,1715,Neuron
CL:0000402,CNS interneuron,22649,Neuron
CL:0000432,reticular cell,421,Fibroblast
CL:0000442,follicular dendritic cell,398,Other/Unknown
CL:0000451,dendritic cell,212350,Dendritic cell
CL:0000453,Langerhans cell,14681,Dendritic cell
CL:0000459,noradrenergic cell,138,Neuron
CL:0000492,CD4-positive helper T cell,193456,T cell
CL:0000498,inhibitory interneuron,238566,Neuron
CL:0000499,stromal cell,623557,Other/Unknown
CL:0000501,granulosa cell,112918,Other/Unknown
CL:0000502,type D enteroendocrine cell,226,Neuroendocrine cell
CL:0000503,theca cell,7193,Other/Unknown
CL:0000504,enterochromaffin-like cell,81,Neuroendocrine cell
CL:0000508,type G enteroendocrine cell,4239,Neuroendocrine cell
CL:0000510,paneth cell,12762,Epithelial cell
CL:0000513,cardiac muscle myoblast,66335,Progenitor/Stem cell
CL:0000514,smooth muscle myoblast,2938,Progenitor/Stem cell
CL:0000515,skeletal muscle myoblast,11170,Progenitor/Stem cell
CL:0000525,syncytiotrophoblast cell,91314,Epithelial cell
CL:0000529,pigmented epithelial cell,27252,Epithelial cell
CL:0000531,primary sensory neuron (sensu Teleostei),1030,Neuron
CL:0000540,neuron,9693939,Neuron
CL:0000542,lymphocyte,245636,Other/Unknown
CL:0000545,T-helper 1 cell,6653,T cell
CL:0000546,T-helper 2 cell,55,T cell
CL:0000547,proerythroblast,1627,Erythroid cell
CL:0000549,basophilic erythroblast,5253,Erythroid cell
CL:0000550,polychromatophilic erythroblast,5061,Erythroid cell
CL:0000552,orthochromatic erythroblast,3734,Erythroid cell
CL:0000553,megakaryocyte progenitor cell,3882,Progenitor/Stem cell
CL:0000555,neuronal brush cell,65674,Neuron
CL:0000556,megakaryocyte,81931,Megakaryocyte/Platelet
CL:0000557,granulocyte monocyte progenitor cell,43690,Progenitor/Stem cell
CL:0000558,reticulocyte,861,Erythroid cell
CL:0000559,promonocyte,48909,Monocyte
CL:0000561,amacrine cell,254875,Neuron
CL:0000569,cardiac mesenchymal cell,317,Fibroblast
CL:0000573,retinal cone cell,169409,Neuron
CL:0000575,corneal epithelial cell,41125,Epithelial cell
CL:0000576,monocyte,1014253,Monocyte
CL:0000577,type EC enteroendocrine cell,3945,Neuroendocrine cell
CL:0000583,alveolar macrophage,886952,Macrophage
CL:0000584,enterocyte,363804,Epithelial cell
CL:0000586,germ cell,15525,Germ cell
CL:0000594,skeletal muscle satellite cell,19684,Progenitor/Stem cell
CL:0000595,enucleate erythrocyte,202,Erythroid cell
CL:0000598,pyramidal neuron,230824,Neuron
CL:0000604,retinal rod cell,1448544,Neuron
CL:0000617,GABAergic neuron,861228,Neuron
CL:0000622,acinar cell,35447,Pancreatic islet cell
CL:0000623,natural killer cell,1488783,NK cell
CL:0000624,"CD4-positive, alpha-beta T cell",2020272,T cell
CL:0000625,"CD8-positive, alpha-beta T cell",1788650,T cell
CL:0000630,supporting cell,30009,Glial cell
CL:0000632,hepatic stellate cell,46993,Stellate cell
CL:0000636,Mueller cell,370469,Glial cell
CL:0000644,Bergmann glial cell,30296,Glial cell
CL:0000646,basal cell,576061,Epithelial cell
CL:0000649,prickle cell,26321,Epithelial cell
CL:0000650,mesangial cell,55904,Stellate cell
CL:0000651,mucous neck cell,26945,Epithelial cell
CL:0000653,podocyte,20930,Podocyte
CL:0000667,collagen secreting cell,1421,Fibroblast
CL:0000669,pericyte,558192,Pericyte
CL:0000670,primordial germ cell,7712,Germ cell
CL:0000677,gut absorptive cell,2367,Epithelial cell
CL:0000679,glutamatergic neuron,3125705,Neuron
CL:0000680,muscle precursor cell,254,Progenitor/Stem cell
CL:0000681,radial glial cell,2020448,Glial cell
CL:0000682,M cell of gut,14540,Epithelial cell
CL:0000695,Cajal-Retzius cell,6379,Neuron
CL:0000696,PP cell,761,Pancreatic islet cell
CL:0000700,dopaminergic neuron,22048,Neuron
CL:0000704,endothelial tip cell,130451,Endothelial cell
CL:0000706,choroid plexus epithelial cell,85274,Epithelial cell
CL:0000708,leptomeningeal cell,40,Mesothelial cell
CL:0000731,urothelial cell,3158,Epithelial cell
CL:0000738,leukocyte,74259,Other/Unknown
CL:0000740,retinal ganglion cell,113382,Neuron
CL:0000743,hypertrophic chondrocyte,28,Chondrocyte
CL:0000745,retina horizontal cell,29293,Neuron
CL:0000746,cardiac muscle cell,924126,Muscle cell
CL:0000748,retinal bipolar neuron,240966,Neuron
CL:0000749,ON-bipolar cell,58352,Neuron
CL:0000750,OFF-bipolar cell,47620,Neuron
CL:0000751,rod bipolar cell,238867,Neuron
CL:0000752,cone retinal bipolar cell,10510,Neuron
CL:0000763,myeloid cell,430243,Other/Unknown
CL:0000764,erythroid lineage cell,19002,Erythroid cell
CL:0000765,erythroblast,65894,Erythroid cell
CL:0000766,myeloid leukocyte,15289,Other/Unknown
CL:0000767,basophil,5564,Granulocyte
CL:0000771,eosinophil,529,Granulocyte
CL:0000775,neutrophil,340648,Granulocyte
CL:0000776,immature neutrophil,3125,Granulocyte
CL:0000782,myeloid dendritic cell,12039,Dendritic cell
CL:0000784,plasmacytoid dendritic cell,90950,Dendritic cell
CL:0000785,mature B cell,50814,B cell
CL:0000786,plasma cell,576466,B cell
CL:0000787,memory B cell,300484,B cell
CL:0000788,naive B cell,513408,B cell
CL:0000789,alpha-beta T cell,48664,T cell
CL:0000790,immature alpha-beta T cell,80461,T cell
CL:0000791,mature alpha-beta T cell,261028,T cell
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",8436,T cell
CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",138786,T cell
CL:0000795,"CD8-positive, alpha-beta regulatory T cell",1364,T cell
CL:0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",1063,T cell
CL:0000798,gamma-delta T cell,218288,T cell
CL:0000800,mature gamma-delta T cell,16149,T cell
CL:0000802,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",1620,T cell
CL:0000809,"double-positive, alpha-beta thymocyte",711645,T cell
CL:0000810,"CD4-positive, alpha-beta thymocyte",36077,T cell
CL:0000811,"CD8-positive, alpha-beta thymocyte",9817,T cell
CL:0000813,memory T cell,33169,T cell
CL:0000814,mature NK T cell,175262,T cell
CL:0000815,regulatory T cell,358384,T cell
CL:0000816,immature B cell,26613,B cell
CL:0000817,precursor B cell,47751,B cell
CL:0000818,transitional stage B cell,44849,B cell
CL:0000819,B-1 B cell,16956,B cell
CL:0000820,B-1a B cell,558,B cell
CL:0000821,B-1b B cell,1110,B cell
CL:0000822,B-2 B cell,53076,B cell
CL:0000823,immature natural killer cell,26,NK cell
CL:0000826,pro-B cell,52927,B cell
CL:0000827,pro-T cell,12409,Progenitor/Stem cell
CL:0000834,neutrophil progenitor cell,2211,Progenitor/Stem cell
CL:0000836,promyelocyte,13082,Granulocyte
CL:0000837,hematopoietic multipotent progenitor cell,436110,Progenitor/Stem cell
CL:0000838,lymphoid lineage restricted progenitor cell,11685,Progenitor/Stem cell
CL:0000839,myeloid lineage restricted progenitor cell,4158,Progenitor/Stem cell
CL:0000841,mature conventional dendritic cell,236,Dendritic cell
CL:0000842,mononuclear cell,242,Other/Unknown
CL:0000843,follicular B cell,22829,B cell
CL:0000844,germinal center B cell,11611,B cell
CL:0000846,vestibular dark cell,147,Epithelial cell
CL:0000860,classical monocyte,1591872,Monocyte
CL:0000861,elicited macrophage,116551,Macrophage
CL:0000863,inflammatory macrophage,33803,Macrophage
CL:0000864,tissue-resident macrophage,4065,Macrophage
CL:0000867,secondary lymphoid organ macrophage,4633,Macrophage
CL:0000875,non-classical monocyte,273402,Monocyte
CL:0000878,central nervous system macrophage,394390,Macrophage
CL:0000879,meningeal macrophage,603,Macrophage
CL:0000890,alternatively activated macrophage,28013,Macrophage
CL:0000893,thymocyte,77572,T cell
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",1053444,T cell
CL:0000896,"activated CD4-positive, alpha-beta T cell",35161,T cell
CL:0000897,"CD4-positive, alpha-beta memory T cell",135220,T cell
CL:0000898,naive T cell,31340,T cell
CL:0000899,T-helper 17 cell,13033,T cell
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",406676,T cell
CL:0000903,natural T-regulatory cell,13632,T cell
CL:0000904,"central memory CD4-positive, alpha-beta T cell",961971,T cell
CL:0000905,"effector memory CD4-positive, alpha-beta T cell",199608,T cell
CL:0000906,"activated CD8-positive, alpha-beta T cell",46765,T cell
CL:0000907,"central memory CD8-positive, alpha-beta T cell",98529,T cell
CL:0000909,"CD8-positive, alpha-beta memory T cell",287112,T cell
CL:0000910,cytotoxic T cell,26507,T cell
CL:0000912,helper T cell,56918,T cell
CL:0000913,"effector memory CD8-positive, alpha-beta T cell",514615,T cell
CL:0000914,immature NK T cell,5258,NK cell
CL:0000915,"CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell",25731,T cell
CL:0000917,Tc1 cell,13863,T cell
CL:0000920,"CD8-positive, CD28-negative, alpha-beta regulatory T cell",8377,T cell
CL:0000921,type I NK T cell,5759,T cell
CL:0000922,type II NK T cell,147,NK cell
CL:0000931,activated type II NK T cell,11568,NK cell
CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",54196,T cell
CL:0000935,"CD4-negative, CD8-negative, alpha-beta intraepithelial T cell",102,T cell
CL:0000936,early lymphoid progenitor,11633,Progenitor/Stem cell
CL:0000937,pre-natural killer cell,39,Progenitor/Stem cell
CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",103615,NK cell
CL:0000939,"CD16-positive, CD56-dim natural killer cell, human",469505,NK cell
CL:0000940,mucosal invariant T cell,161371,T cell
CL:0000945,lymphocyte of B lineage,1170,B cell
CL:0000946,antibody secreting cell,619,B cell
CL:0000954,small pre-B-II cell,27888,B cell
CL:0000956,pre-B-I cell,1084,B cell
CL:0000957,large pre-B-II cell,39056,B cell
CL:0000970,unswitched memory B cell,23938,B cell
CL:0000972,class switched memory B cell,35910,B cell
CL:0000979,IgG memory B cell,2048,B cell
CL:0000980,plasmablast,67375,B cell
CL:0000982,IgG plasmablast,4242,B cell
CL:0000984,IgA plasmablast,3562,B cell
CL:0000985,IgG plasma cell,17633,B cell
CL:0000986,IgM plasma cell,5277,B cell
CL:0000987,IgA plasma cell,78789,B cell
CL:0000988,hematopoietic cell,28870,Other/Unknown
CL:0000990,conventional dendritic cell,180418,Dendritic cell
CL:0001024,"CD34-positive, CD38-negative hematopoietic stem cell",2238,Progenitor/Stem cell
CL:0001029,common dendritic progenitor,3522,Progenitor/Stem cell
CL:0001031,cerebellar granule cell,80865,Neuron
CL:0001033,hippocampal granule cell,109995,Neuron
CL:0001034,cell in vitro,118672,Other/Unknown
CL:0001042,T-helper 22 cell,18379,T cell
CL:0001043,"activated CD4-positive, alpha-beta T cell, human",14331,T cell
CL:0001044,"effector CD4-positive, alpha-beta T cell",29848,T cell
CL:0001049,"activated CD8-positive, alpha-beta T cell, human",6638,T cell
CL:0001050,"effector CD8-positive, alpha-beta T cell",92660,T cell
CL:0001054,CD14-positive monocyte,684349,Monocyte
CL:0001055,"CD14-positive, CD16-low monocyte",4683,Monocyte
CL:0001056,"dendritic cell, human",9222,Dendritic cell
CL:0001057,"myeloid dendritic cell, human",1901,Dendritic cell
CL:0001058,"plasmacytoid dendritic cell, human",19797,Dendritic cell
CL:0001061,abnormal cell,46887,Tumor or abnormal cell
CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",105029,T cell
CL:0001063,neoplastic cell,66416,Tumor or abnormal cell
CL:0001064,malignant cell,1337071,Tumor or abnormal cell
CL:0001065,innate lymphoid cell,65806,Other/Unknown
CL:0001066,"erythroid progenitor cell, mammalian",773,Erythroid cell
CL:0001067,group 1 innate lymphoid cell,2940,Other/Unknown
CL:0001069,group 2 innate lymphoid cell,7844,Other/Unknown
CL:0001071,group 3 innate lymphoid cell,27856,Other/Unknown
CL:0001074,"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human",555,Progenitor/Stem cell
CL:0001076,"NKp46-positive innate lymphoid cell, human",16978,NK cell
CL:0001077,"ILC1, human",776,NK cell
CL:0001078,"group 3 innate lymphoid cell, human",9058,Other/Unknown
CL:0001079,"NKp44-positive group 3 innate lymphoid cell, human",611,NK cell
CL:0001080,"NKp44-negative group 3 innate lymphoid cell, human",739,Other/Unknown
CL:0001081,"group 2 innate lymphoid cell, human",93,Other/Unknown
CL:0001082,immature innate lymphoid cell,28875,Progenitor/Stem cell
CL:0001087,"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",2758,T cell
CL:0001203,"CD8-positive, alpha-beta memory T cell, CD45RO-positive",36334,T cell
CL:0002009,macrophage dendritic cell progenitor,31,Progenitor/Stem cell
CL:0002010,pre-conventional dendritic cell,4402,Dendritic cell
CL:0002028,basophil mast progenitor cell,2541,Progenitor/Stem cell
CL:0002032,hematopoietic oligopotent progenitor cell,6718,Progenitor/Stem cell
CL:0002038,T follicular helper cell,87566,T cell
CL:0002045,fraction A pre-pro B cell,22456,Progenitor/Stem cell
CL:0002046,early pro-B cell,32723,B cell
CL:0002048,late pro-B cell,27585,B cell
CL:0002053,"CD22-positive, CD38-low small pre-B cell",2412,B cell
CL:0002057,"CD14-positive, CD16-negative classical monocyte",277252,Monocyte
CL:0002062,pulmonary alveolar type 1 cell,236277,Epithelial cell
CL:0002063,pulmonary alveolar type 2 cell,694536,Epithelial cell
CL:0002064,pancreatic acinar cell,101259,Other/Unknown
CL:0002067,type A enteroendocrine cell,998,Neuroendocrine cell
CL:0002071,enterocyte of epithelium of large intestine,43665,Epithelial cell
CL:0002075,brush cell of tracheobronchial tree,1004,Epithelial cell
CL:0002079,pancreatic ductal cell,52263,Epithelial cell
CL:0002088,interstitial cell of Cajal,36728,Glial cell
CL:0002092,bone marrow cell,72,Other/Unknown
CL:0002094,interstitial cell of ovary,49910,Other/Unknown
CL:0002097,cortical cell of adrenal gland,410019,Other/Unknown
CL:0002102,CD38-negative naive B cell,13021,B cell
CL:0002117,IgG-negative class switched memory B cell,4345,B cell
CL:0002129,regular atrial cardiac myocyte,148879,Muscle cell
CL:0002131,regular ventricular cardiac myocyte,629198,Muscle cell
CL:0002132,stromal cell of ovary,168408,Fibroblast
CL:0002138,endothelial cell of lymphatic vessel,199346,Endothelial cell
CL:0002139,endothelial cell of vascular tree,207038,Endothelial cell
CL:0002144,capillary endothelial cell,606131,Endothelial cell
CL:0002145,ciliated columnar cell of tracheobronchial tree,165381,Epithelial cell
CL:0002149,epithelial cell of uterus,4251,Epithelial cell
CL:0002151,late promyelocyte,2079,Granulocyte
CL:0002154,early promyelocyte,6528,Granulocyte
CL:0002157,endosteal cell,54,Other/Unknown
CL:0002178,epithelial cell of stomach,12980,Epithelial cell
CL:0002179,foveolar cell of stomach,94899,Epithelial cell
CL:0002180,mucous cell of stomach,1375,Epithelial cell
CL:0002187,basal cell of epidermis,33726,Epithelial cell
CL:0002188,glomerular endothelial cell,1866,Endothelial cell
CL:0002189,granular cell of epidermis,281,Other/Unknown
CL:0002193,myelocyte,12224,Granulocyte
CL:0002201,renal beta-intercalated cell,1607,Epithelial cell
CL:0002204,brush cell,5484,Epithelial cell
CL:0002207,brush cell of trachea,61,Epithelial cell
CL:0002211,type I muscle cell,138591,Muscle cell
CL:0002212,type II muscle cell,100598,Muscle cell
CL:0002223,anterior lens cell,6160,Epithelial cell
CL:0002224,lens epithelial cell,5276,Epithelial cell
CL:0002225,secondary lens fiber,1677,Epithelial cell
CL:0002231,epithelial cell of prostate,4587,Epithelial cell
CL:0002236,basal epithelial cell of prostatic duct,7295,Epithelial cell
CL:0002241,pulmonary interstitial fibroblast,16633,Fibroblast
CL:0002243,smooth muscle cell of sphincter of pupil,2221,Muscle cell
CL:0002248,pluripotent stem cell,5884,Progenitor/Stem cell
CL:0002250,intestinal crypt stem cell,1884,Progenitor/Stem cell
CL:0002252,epithelial cell of esophagus,56720,Epithelial cell
CL:0002254,epithelial cell of small intestine,339,Epithelial cell
CL:0002255,stromal cell of endometrium,312,Fibroblast
CL:0002258,thyroid follicular cell,7302,Epithelial cell
CL:0002259,neuroepithelial stem cell,8616,Progenitor/Stem cell
CL:0002262,endothelial cell of sinusoid,592,Endothelial cell
CL:0002268,P/D1 enteroendocrine cell,3532,Neuroendocrine cell
CL:0002275,pancreatic PP cell,561,Pancreatic islet cell
CL:0002277,type I enteroendocrine cell,227,Neuroendocrine cell
CL:0002278,GIP cell,83,Neuroendocrine cell
CL:0002279,type L enteroendocrine cell,1377,Neuroendocrine cell
CL:0002280,type N enteroendocrine cell,44,Neuroendocrine cell
CL:0002293,epithelial cell of thymus,1972,Epithelial cell
CL:0002303,pigmented ciliary epithelial cell,16144,Epithelial cell
CL:0002304,non-pigmented ciliary epithelial cell,6327,Epithelial cell
CL:0002305,epithelial cell of distal tubule,120,Epithelial cell
CL:0002306,epithelial cell of proximal tubule,452249,Epithelial cell
CL:0002316,supporting cell of vestibular epithelium,810,Epithelial cell
CL:0002319,neural cell,576607,Other/Unknown
CL:0002320,connective tissue cell,2950,Other/Unknown
CL:0002322,embryonic stem cell,34,Progenitor/Stem cell
CL:0002324,basal-myoepithelial cell of mammary gland,321834,Epithelial cell
CL:0002325,lactocyte,15973,Epithelial cell
CL:0002326,luminal epithelial cell of mammary gland,334008,Epithelial cell
CL:0002327,mammary gland epithelial cell,101696,Epithelial cell
CL:0002328,bronchial epithelial cell,693,Epithelial cell
CL:0002329,basal epithelial cell of tracheobronchial tree,8145,Epithelial cell
CL:0002332,ciliated cell of the bronchus,88,Epithelial cell
CL:0002334,preadipocyte,104964,Progenitor/Stem cell
CL:0002338,"CD56-positive, CD161-positive immature natural killer cell, human",1108,NK cell
CL:0002340,luminal cell of prostate epithelium,59988,Epithelial cell
